date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:22	128685/128685	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:22%20GMT	https://noithatmansion.vn/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/index.html	(from )
22:06:23	94/94	---M-Z	200	added ('OK')	text/plain	date:Fri,%2019%20Aug%202022%2015:06:23%20GMT	https://noithatmansion.vn/robots.txt		(from )
22:06:23	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2019%20Aug%202022%2015:06:23%20GMT	https://noithatmansion.vn/xmlrpc.php	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/xmlrpc.php	(from https://noithatmansion.vn/)
22:06:23	4771/4771	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a3-62a62ae4-796ab;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	(from https://noithatmansion.vn/)
22:06:24	10850/10850	---M-Z	200	added ('OK')	application/x-javascript	etag:%222a62-62a62ae4-796ac;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	(from https://noithatmansion.vn/)
22:06:24	16876/16876	---M-Z	200	added ('OK')	application/x-javascript	etag:%2241ec-62a62ae4-796ad;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	(from https://noithatmansion.vn/)
22:06:24	20237/20237	---M-Z	200	added ('OK')	application/x-javascript	etag:%224f0d-62a62ae4-796ae;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	(from https://noithatmansion.vn/)
22:06:25	49648/49648	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c1f0-62a62ae4-796af;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	(from https://noithatmansion.vn/)
22:06:25	198611/198611	---MCZ	200	added ('OK')	application/rss+xml	etag:%22832b2b0ad37ec8fce03e62034e7a7ed6%22	https://noithatmansion.vn/feed/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/feed/index.html	(from https://noithatmansion.vn/)
22:06:25	178018/178018	---M-Z	200	added ('OK')	text/css	etag:%222b762-62a62ae4-18edd0a;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/flatsome2855.css	(from https://noithatmansion.vn/)
